kernel_id,task,layer_class,op_type,precision,multiplicity,flops_per_instance,total_flops,weight_bytes_per_instance,io_bytes_per_instance,total_bytes,arithmetic_intensity_flops_per_byte,context,note
ATTN.swa.qkv_proj,ATTN,swa_only_layer,matmul,bf16,2,8.05306e+08,1.61061e+09,8.05306e+08,204800,1.61102e+09,0.9997,short_chat_L1500,"First 2 layers: plain windowed attention, no compression."
ATTN.swa.attention,ATTN,swa_only_layer,attention,fp8,2,1.67772e+07,3.35544e+07,0,131072,262144,128,short_chat_L1500,window=128 tokens.
ATTN.swa.out_proj,ATTN,swa_only_layer,matmul,bf16,2,2.68435e+08,5.36871e+08,2.68435e+08,73728,5.37018e+08,0.9997,short_chat_L1500,
ATTN.csa.kv_compress,ATTN,csa_layer,matmul,bf16,21,1.67772e+07,3.52322e+08,1.67772e+07,6144,3.52451e+08,0.9996,short_chat_L1500,"Eqs 9-10: per-raw-token KV/weight projections feeding the m=4-to-1 compression (SIMPLIFIED: linear cost, softmax-combine coefficient not modeled)."
ATTN.csa.indexer_proj,ATTN,csa_layer,matmul,fp4,21,2.51658e+07,5.28482e+08,6.29146e+06,6144,1.3225e+08,3.996,short_chat_L1500,"Eqs 13-14: low-rank down/up projection for indexer queries, FP4."
ATTN.csa.indexer_score,ATTN,csa_layer,attention,fp4,21,6.144e+06,1.29024e+08,0,24000,504000,256,short_chat_L1500,"Eq 16: index score vs. every compressed block -- this is the term that scales with context length L, analogous to global attention's linear-in-L cost in the spec-decode workload."
ATTN.csa.topk_select,ATTN,csa_layer,reduce_argmax,fp32,21,375,7875,0,3000,63000,0.125,short_chat_L1500,Eq 17: top-512 selector over compressed indexer scores.
ATTN.csa.core_attention,ATTN,csa_layer,attention,fp8,21,1.50995e+08,3.17089e+09,6.71089e+07,655360,1.42305e+09,2.228,short_chat_L1500,"MQA over top-512 selected compressed entries + 128-token sliding window, shared K/V across all 64 query heads."
ATTN.csa.grouped_out_proj,ATTN,csa_layer,matmul,bf16,21,1.34218e+08,2.81857e+09,1.34218e+08,73728,2.82012e+09,0.9995,short_chat_L1500,8 groups -> 1024-dim intermediate -> combine to d_model (SIMPLIFIED two-matmul stand-in for the per-group einsum).
ATTN.hca.kv_compress,ATTN,hca_layer,matmul,bf16,20,8.38861e+06,1.67772e+08,8.38861e+06,5120,1.67875e+08,0.9994,short_chat_L1500,"Eqs 20-21, compression ratio m'=128."
ATTN.hca.core_attention,ATTN,hca_layer,attention,fp8,20,8.54221e+07,1.70844e+09,6.71089e+07,143072,1.34504e+09,1.27,short_chat_L1500,No sparse selection -- dense MQA over ALL compressed entries (L/128) plus the 128-token sliding window.
ATTN.hca.grouped_out_proj,ATTN,hca_layer,matmul,bf16,20,1.34218e+08,2.68435e+09,1.34218e+08,73728,2.68583e+09,0.9995,short_chat_L1500,
MOE.shared_expert_ffn,MOE,all_moe_layers,matmul,bf16,43,5.03316e+07,2.16426e+09,5.03316e+07,12288,2.16479e+09,0.9998,short_chat_L1500,Matches the paper's own stated per-expert cost exactly: 6*h*d FLOPs/token-expert-pair (Section 3.1) -- good cross-check on the general matmul-decomposition recipe.
MOE.router_learned,MOE,learned_routing_layers,matmul,bf16,40,2.09715e+06,8.38861e+07,2.09715e+06,8704,8.42342e+07,0.9959,short_chat_L1500,"THE real stochastic branch: affinity score per token over 256 routed experts, then top-6 selected. Needs a routing histogram from profiling to characterize which experts, not just how many."
MOE.router_learned_select,MOE,learned_routing_layers,reduce_argmax,fp32,40,256,10240,0,1024,40960,0.25,short_chat_L1500,Top-6 selection over the affinity scores.
MOE.routed_expert_ffn_learned,MOE,learned_routing_layers,matmul,fp4,240,5.03316e+07,1.20796e+10,1.25829e+07,12288,3.02285e+09,3.996,short_chat_L1500,"6 of 256 experts fire per token, chosen by the router above. Weights are FP4 (post-training QAT, Section 5.2.1), dequantized to FP8 for the actual matmul -- modeled here at FP4 read bytes."
MOE.router_hash,MOE,hash_routing_layers,lookup,int32,3,0,0,0,4,12,0,short_chat_L1500,"NOT stochastic: which experts a token hits is a deterministic hash of its token ID. Zero FLOPs, no profiling needed -- contrast directly with MOE.router_learned above, same layer TYPE, different (and non-probabilistic) selection mechanism."
MOE.routed_expert_ffn_hash,MOE,hash_routing_layers,matmul,fp4,18,5.03316e+07,9.0597e+08,1.25829e+07,12288,2.26714e+08,3.996,short_chat_L1500,Identical downstream compute to the learned-routing case.
MHC.sinkhorn_iterate,MHC,all_layers,iterative_normalize,fp32,43,1280,55040,0,256,11008,5,short_chat_L1500,NOT bandwidth- or compute-bound -- bound by 20 sequential dependent steps. See explanation.txt for why this needs a new resource axis (sequential depth x round-trip latency) instead of the compute/bandwidth roofline every other kernel here uses.
OUT.embed_lookup,OUT,embedding,lookup,bf16,1,0,0,8192,8192,16384,0,short_chat_L1500,
OUT.lm_head,OUT,output,matmul,bf16,1,1.04858e+09,1.04858e+09,1.04858e+09,264192,1.04884e+09,0.9997,short_chat_L1500,
OUT.mtp_extra_head,OUT,mtp,matmul,bf16,1,1.04858e+09,1.04858e+09,1.04858e+09,264192,1.04884e+09,0.9997,short_chat_L1500,MTP depth=1: one extra lookahead-token prediction. This is what vLLM/SGLang attach speculative decoding to (branded 'DSpark' on the model card) -- reuse specdecode_kernels.py's B/C/D loop shape on TOP of this if modeling the full inference-serving DAG rather than just one forward pass.
