state,abbr,car_dwelling_score,note
Alabama,AL,3,"No statewide ban, but hostile local enforcement and thin services"
Alaska,AK,7,"Widely tolerated, no statewide ban; services are sparse"
Arizona,AZ,6,"Huge BLM land + long-term vehicle areas; sweeps in Phoenix"
Arkansas,AR,3,"Hostile enforcement climate, minimal support programs"
California,CA,8,"Most safe-parking programs in the US; some city vehicle bans"
Colorado,CO,8,"Safe-parking programs, ample public land, no statewide ban"
Connecticut,CT,6,"Solid shelter and services network; no statewide camping ban"
Delaware,DE,5,"No statewide ban; few dedicated programs"
Florida,FL,2,"2024 law forces every city and county to ban public sleeping"
Georgia,GA,3,"2022 law pushes local enforcement of camping bans"
Hawaii,HI,3,"Strict vehicle-dwelling and sit-lie bans, especially Honolulu"
Idaho,ID,5,"Good public-land access, but conservative enforcement"
Illinois,IL,5,"Decent services in Chicago; ordinary parking enforcement"
Indiana,IN,4,"No statewide ban; limited services"
Iowa,IA,5,"Tolerant rest areas; thin programs"
Kansas,KS,4,"Few protections or programs either way"
Kentucky,KY,2,"2024 Safer Kentucky Act: camping banned, felony on repeat"
Louisiana,LA,3,"Hostile enforcement, weak services"
Maine,ME,6,"No statewide ban; decent services for its size"
Maryland,MD,5,"No statewide ban; average services"
Massachusetts,MA,6,"Strong services, family right-to-shelter; strict city parking"
Michigan,MI,5,"No statewide ban; average enforcement and services"
Minnesota,MN,6,"Good services, no statewide ban; winters are the real limit"
Mississippi,MS,3,"Minimal services, hostile enforcement"
Missouri,MO,3,"2022 statewide ban struck down in 2023; still a hostile climate"
Montana,MT,6,"Public land, overnight-tolerant rest areas"
Nebraska,NE,5,"Neutral: few programs, few statewide restrictions"
Nevada,NV,7,"24-hour culture, public land, overnight parking tolerated"
New Hampshire,NH,5,"No statewide ban; limited programs"
New Jersey,NJ,5,"No statewide ban; average services, strict towns"
New Mexico,NM,7,"BLM land, tolerant enforcement; weaker services"
New York,NY,6,"NYC right-to-shelter favors services over criminalization"
North Carolina,NC,4,"No statewide ban; patchy local enforcement"
North Dakota,ND,5,"Tolerant rest areas; thin services"
Ohio,OH,5,"No statewide ban; average on everything"
Oklahoma,OK,3,"Hostile enforcement and camping restrictions"
Oregon,OR,9,"Decriminalization ethos, safe-parking programs, public land"
Pennsylvania,PA,5,"No statewide ban; average services"
Rhode Island,RI,6,"Small but decent service network"
South Carolina,SC,3,"Hostile local enforcement, few programs"
South Dakota,SD,5,"Overnight-tolerant rest areas; few services"
Tennessee,TN,1,"Felony to camp on public property since 2022 — harshest in the US"
Texas,TX,2,"Statewide public-camping ban since 2021 (misdemeanor)"
Utah,UT,6,"Public land everywhere; Salt Lake City services are mixed"
Vermont,VT,7,"Broad motel-voucher program; no statewide ban"
Virginia,VA,4,"No statewide ban, but rest areas prohibit overnight stays"
Washington,WA,9,"Courts treat a lived-in vehicle as a protected home (homestead act)"
West Virginia,WV,4,"No statewide ban; very thin services"
Wisconsin,WI,5,"No statewide ban; average"
Wyoming,WY,6,"Public land and tolerant rural norms; almost no services"
